txid,cn0_baseline_mean,cn0_baseline_std
3.0,50.98508423262598,0.21646401797282072
6.0,48.756434443345384,0.2877887078995368
7.0,48.253366780752074,0.4106985941805235
10.0,43.45882179372825,0.8601186778593999
11.0,37.600805889517,2.4559436278520206
13.0,51.387890665535686,0.28228885147300703
16.0,49.7686357040654,0.4602787379668792
19.0,48.95550583475861,0.3832662705339943
20.0,42.3970073622388,0.5755874959572265
23.0,51.90947547973518,0.1845966831378473
30.0,41.99271851538289,0.7965608927919992
32.0,38.75270130016185,0.9468958909397193
133.0,48.665236710834236,0.04649623516495959
138.0,51.303195885345446,0.04260209896706434
